Date,IBOV,Dolar,IBOV_USD
2014-08-18,57561.0,2.2455999851226807,25632.79318727612
2014-08-19,58449.0,2.255199909210205,25917.43630411437
2014-08-20,58878.0,2.243499994277954,26243.81553383923
2014-08-21,58992.0,2.2572999000549316,26133.877912529224
2014-08-22,58407.0,2.2667999267578125,25766.279286738423
2014-08-25,59735.0,2.272900104522705,26281.40140481184
2014-08-26,59821.0,2.282900094985962,26203.950024526963
2014-08-27,60951.0,2.2585999965667725,26986.186174023605
2014-08-28,60291.0,2.2435998916625977,26872.438452170696
2014-08-29,61288.0,2.2372000217437744,27394.957716936446
2014-09-01,61141.0,2.231600046157837,27397.83058584666
2014-09-02,61896.0,2.2430999279022217,27593.955681629395
2014-09-03,61837.0,2.239799976348877,27608.268886939266
2014-09-04,60800.0,2.2339999675750732,27215.756885617244
2014-09-05,60681.0,2.239300012588501,27098.200178124538
2014-09-08,59193.0,2.237799882888794,26451.42689148204
2014-09-09,58676.0,2.265000104904175,25905.51756397486
2014-09-10,58199.0,2.2832000255584717,25490.10132643306
2014-09-11,58337.0,2.2852001190185547,25528.180011234428
2014-09-12,56928.0,2.2948999404907227,24806.310286376574
2014-09-15,57949.0,2.271899938583374,25506.84518092538
2014-09-16,59115.0,2.3394999504089355,25268.220240683026
2014-09-17,59108.0,2.333699941635132,25328.020516033157
2014-09-18,58374.0,2.355299949645996,24784.1044656642
2014-09-19,57789.0,2.3631999492645264,24453.70736318146
2014-09-22,56818.0,2.365000009536743,24024.524216018723
2014-09-23,56541.0,2.395699977874756,23601.035406010215
2014-09-24,56824.0,2.4096999168395996,23581.359489162674
2014-09-25,55962.0,2.3794000148773193,23519.37448520415
2014-09-26,57212.0,2.4251999855041504,23590.631841483693
2014-09-29,54625.0,2.419800043106079,22574.17928213722
2014-09-30,54116.0,2.44350004196167,22146.920020740024
2014-10-01,52858.0,2.4358999729156494,21699.577399613678
2014-10-02,53519.0,2.4816999435424805,21565.459651663117
2014-10-03,54540.0,2.4921000003814697,21885.157093074708
2014-10-06,57116.0,2.454900026321411,23266.120570126226
2014-10-07,57436.0,2.425299882888794,23682.01986287466
2014-10-08,57058.0,2.393199920654297,23841.718992034916
2014-10-09,57268.0,2.374000072479248,24122.998421054428
2014-10-10,55312.0,2.39490008354187,23095.744319403035
2014-10-13,57957.0,2.385999917984009,24290.445093128637
2014-10-14,58015.0,2.390500068664551,24268.9806875471
2014-10-15,56135.0,2.3961000442504883,23427.652837241734
2014-10-16,54298.0,2.452399969100952,22140.76035072925
2014-10-17,55724.0,2.46589994430542,22597.834972455057
2014-10-20,54303.0,2.4307000637054443,22340.477466075597
2014-10-21,52432.0,2.4621999263763428,21294.77766542093
2014-10-22,52411.0,2.4779999256134033,21150.525251539788
2014-10-23,50713.0,2.484299898147583,20413.39696459921
2014-10-24,51941.0,2.495699882507324,20812.197958601126
2014-10-27,50504.0,2.468899965286255,20456.07384264528
2014-10-28,52330.0,2.5195999145507812,20769.170413839256
2014-10-29,51049.0,2.458199977874756,20766.8214382357
2014-10-30,52337.0,2.4577999114990234,21294.247654228053
